id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27753120,Standard Triple Room #4,45374193,Rumors,Cayo,Cayo,17.13035,-89.09531,Hotel room,,1,1,2022-09-07,0.04,10,0,0,
27754940,Deluxe Single Room #7,45374193,Rumors,Cayo,Cayo,17.13038,-89.09364,Hotel room,,1,1,2022-08-18,0.03,10,0,0,
27755440,Deluxe Single Room #8 (Balcony),45374193,Rumors,Cayo,Cayo,17.12898,-89.09548,Hotel room,,1,1,2022-05-17,0.03,10,0,0,
27755726,Deluxe Double Room #9,45374193,Rumors,Cayo,Cayo,17.12932,-89.09546,Hotel room,,1,0,,,10,0,0,
27756107,Deluxe Double Room #10 (Balcony),45374193,Rumors,Cayo,Cayo,17.13052,-89.09504,Hotel room,,1,0,,,10,0,0,
27757308,Deluxe Triple Room #13,45374193,Rumors,Cayo,Cayo,17.13028,-89.09537,Hotel room,,1,0,,,10,0,0,
27780980,Tranquil Lake View in Ambergris Suite 10,209765871,Michelle,Belize,Belize Islands,17.931983947753906,-87.97687530517578,Private room,467,1,3,2024-10-28,0.88,5,298,3,
27784693,Gorgeous vacation home on ground floor level,146517735,Paradise,Belize,Belize Islands,17.97344,-87.92741,Entire home/apt,1612,1,14,2024-02-20,0.23,11,52,1,
27833384,Brahma Blue spacious 2Bed with 2Bath,209765871,Michelle,Belize,Belize Islands,17.93156832911933,-87.97731585416102,Entire home/apt,408,1,2,2024-12-25,2,5,338,2,
27936953,Hilltop Horizon GuestHouse,130432445,Luis,Cayo,Cayo,17.15153,-89.07716,Private room,91,1,3,2023-02-21,0.05,4,348,0,
27953235,4BR on beach with private pool!,1120393,Barbara,Belize,Belize Islands,17.8799,-87.99311,Entire home/apt,908,3,6,2024-02-07,0.10,26,175,1,
27961908,St. John Road Belmopan AC Unit 1,37825025,KenEm,Cayo,Cayo,17.24354,-88.75916,Entire home/apt,,1,13,2019-06-15,0.17,2,0,0,
27983683,CityView@DB Tower,152891603,David,Belize,Belize Mainland,17.51085,-88.22086,Entire home/apt,178,1,3,2024-09-22,0.04,26,59,1,
